  1n     1    0    1    0    1    1    0.000000    0.000000
  1   0.000000   0.5  1   6.14E+02  0                      1/2+  1 =    100.0000 %B-    
272n   272    0    1    0    1    1    0.000000    0.250000
  1   0.000000  -1.0  0   3.80E-03  0   +X                       1 AP   100.0000 %A     
274n   274    0    1    0    1    1    6.180000    0.910000
  1   0.000000  -1.0  0             0   +X                       0
277n   277    0    1    0    1    1    0.000000    2.210000
  1   0.000000  -1.0  0   6.90E-04  0                            1 AP   100.0000 %A     
278n   278    0    1    0    1    1    6.130000    1.740000
  1   0.000000  -1.0  0   4.20E-03  0   +X                       0
279n   279    0    1    0    1    1    7.270000    1.700000
  1   0.000000  -1.0  0   1.70E-01  0   +X                       1 AP   100.0000 %A     
280n   280    0    1    0    1    1    6.200000    2.060000
  1   0.000000  -1.0  0   3.60E+00  0   +X                       1 AP   100.0000 %A     
281n   281    0    1    0    1    1    7.124001    2.094000
  1   0.000000  -1.0  0   2.60E+01  0   +X                       2 ?      0.0000 %A      AP   100.0000 %SF    
282n   282    0    1    0    1    1    6.103000    1.739000
  1   0.000000  -1.0  0   5.00E-01  0   +X                       2 AP   100.0000 %A      ?      0.0000 %SF    
282n   282    0    1    0    1    1    7.630001    3.200000
  1   0.000000  -1.0  0   5.00E-04  0   +X                       1 AP   100.0000 %SF    
283n   283    0    1    0    1    1    6.180000    3.280000
  1   0.000000  -1.0  0   4.00E+00  0   +X                       2 GE    90.0000 %A      LE    10.0000 %SF    
284n   284    0    1    0    1    1    7.520000    3.590000
  1   0.000000  -1.0  0   1.01E-01  0   +X                       1 AP   100.0000 %SF    
285n   285    0    1    0    1    1    6.470000    0.000000
  1   0.000000  -1.0  0   3.40E+01  0   +X                       1 AP   100.0000 %A     
