155Ta  155   73    1    0    1    1    0.000000   -1.453000
  1   0.000000   5.5 -1   2.90E-03  0   +X                11/2-  1 =    100.0000 %P     
156Ta  156   73    2    0    1    1    0.000000   -1.016000
  1   0.000000   2.0 -1   1.44E-01  0                      (2-)  2 AP   100.0000 %P      ?      0.0000 %EC+%B+
  2   0.102000   9.0  1   3.60E-01  0                        9+  2 =      4.2000 %P      =     95.8000 %EC+%B+
157Ta  157   73    3    0    1    2   11.900001   -0.935000
  1   0.000000   0.5  1   1.01E-02  0                      1/2+  2 =      3.4000 %P      =     96.6000 %A     
  2   0.022000   5.5 -1   4.30E-03  0                     11/2-  1 =    100.0000 %A     
  3   1.589000  12.5 -1   1.70E-03  0                   (25/2-)  1 =    100.0000 %A     
158Ta  158   73    2    0    1    1    9.700001   -0.400000
  1   0.000000   2.0 -1   5.50E-02  0                      (2-)  2 AP     9.0000 %EC+%B+ AP    91.0000 %A     
  2   0.141000   9.0  1   3.67E-02  0                      (9+)  2 =      5.0000 %EC+%B+ =     95.0000 %A     
159Ta  159   73    5    3    1    1   11.300000   -0.412000
  1   0.000000   0.5 -1   8.30E-01  0                    (1/2-)  2 =     66.0000 %EC+%B+ =     34.0000 %A     
  2   0.064000   5.5 -1   5.15E-01  0                   (11/2-)  2 =     45.0000 %EC+%B+ =     55.0000 %A     
  3   0.637700   7.5 -1             1                   (15/2-)  0
                                          2      0.574  9.865E-01  1.000E+00  1.373E-02
  4   1.278200   9.5 -1             1                   (19/2-)  0
                                          3      0.641  9.895E-01  1.000E+00  1.065E-02
  5   1.911600  11.5 -1             1                   (23/2-)  0
                                          4      0.633  9.892E-01  1.000E+00  1.092E-02
160Ta  160   73    2    0    1    1    9.500000    0.310000
  1   0.000000  -1.0  0   1.55E+00  0                            2 =     66.0000 %EC+%B+ =     34.0000 %A     
  2   0.000000  -1.0  0   1.70E+00  0   +X                       0
161Ta  161   73    1    0    1    1   10.852000    0.154000
  1   0.000000  -1.0  0   2.89E+00  0                            0
162Ta  162   73    1    0    1    1    9.120001    0.750000
  1   0.000000  -1.0  0   3.57E+00  0                            2 =     99.9000 %EC+%B+ =      0.0740 %A     
163Ta  163   73   45   87   16    1   10.830001    0.660000
  1   0.000000   4.5 -1   1.06E+01  0 n                          2 AP    99.8000 %EC+%B+ AP     0.2000 %A     
  2   0.000000   4.5 -1             0 u +X               (9/2-)  0
  3   0.044900   5.5 -1             1 u +X              (11/2-)  0
                                          2      0.045  0.000E+00  0.000E+00  7.431E+00
  4   0.333100   6.5 -1             2 u +X              (13/2-)  0
                                          3      0.288  7.478E-01  9.207E-01  2.312E-01
                                          2      0.333  7.478E-02  7.933E-02  6.077E-02
  5   0.477700   7.5 -1             2 u +X              (15/2-)  0
                                          4      0.144  1.907E-01  4.914E-01  1.577E+00
                                          3      0.433  4.940E-01  5.086E-01  2.940E-02
  6   0.871200   8.5 -1             2 u +X              (17/2-)  0
                                          5      0.393  5.314E-01  5.848E-01  1.004E-01
                                          4      0.538  4.087E-01  4.152E-01  1.600E-02
  7   1.047000   9.5 -1             2 u +X              (19/2-)  0
                                          6      0.176  9.396E-02  1.787E-01  9.014E-01
                                          5      0.569  8.100E-01  8.213E-01  1.399E-02
  8   1.312700   7.5  1             1 u +X              (15/2+)  0
                                          4      0.980  9.983E-01  1.000E+00  1.720E-03
  9   1.522400  10.5 -1             2 u +X              (21/2-)  0
                                          7      0.475  4.016E-01  4.261E-01  6.115E-02
                                          6      0.651  5.680E-01  5.739E-01  1.026E-02
 10   1.547500   8.5  1             2 u +X              (17/2+)  0
                                          8      0.235  1.560E-01  2.189E-01  4.030E-01
                                          5      1.070  7.800E-01  7.811E-01  1.466E-03
 11   1.717500  11.5 -1             2 u +X              (23/2-)  0
                                          9      0.195  7.150E-02  1.197E-01  6.744E-01
                                          7      0.671  8.719E-01  8.803E-01  9.607E-03
 12   1.725900   9.5  1             3 u +X              (19/2+)  0
                                         10      0.179  9.720E-02  1.813E-01  8.650E-01
                                          8      0.413  7.271E-02  7.513E-02  3.326E-02
                                          6      0.855  7.420E-01  7.436E-01  2.216E-03
 13   1.946700  10.5  1             3 u +X              (21/2+)  0
                                         12      0.221  2.246E-01  3.317E-01  4.772E-01
                                         10      0.399  6.587E-02  6.828E-02  3.653E-02
                                          7      0.900  5.988E-01  6.000E-01  2.014E-03
 14   2.171000  11.5  1             3 u +X              (23/2+)  0
                                         13      0.225  3.336E-01  4.860E-01  4.570E-01
                                         12      0.445  2.168E-01  2.227E-01  2.731E-02
                                          9      0.649  2.902E-01  2.913E-01  3.811E-03
 15   2.248500  12.5 -1             2 u +X              (25/2-)  0
                                         11      0.531  4.059E-01  4.238E-01  4.414E-02
                                          9      0.726  5.716E-01  5.762E-01  8.060E-03
 16   2.303600  12.5  1             2 u +X              (25/2+)  0
                                         14      0.132  3.195E-01  9.702E-01  2.037E+00
                                         13      0.357  2.843E-02  2.984E-02  4.970E-02
 17   2.410900  12.5  1             2 u +X              (25/2+)  0
                                         14      0.240  6.228E-01  8.596E-01  3.804E-01
                                         13      0.464  1.370E-01  1.404E-01  2.450E-02
 18   2.422700  13.5  1             2 u +X              (27/2+)  0
                                         16      0.119  2.594E-01  9.731E-01  2.751E+00
                                         14      0.252  2.361E-02  2.695E-02  1.414E-01
 19   2.458100  13.5 -1             2 u +X              (27/2-)  0
